Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5419","Yield","1717","Cereals, primary","1969","1969","100 g/ha","8842","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5510","Production","1717","Cereals, primary","1969","1969","t","6310000","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5312","Area harvested","1717","Cereals, primary","1970","1970","ha","7288000","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5419","Yield","1717","Cereals, primary","1970","1970","100 g/ha","8847","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5510","Production","1717","Cereals, primary","1970","1970","t","6448000","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5312","Area harvested","1717","Cereals, primary","1971","1971","ha","6925656","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5419","Yield","1717","Cereals, primary","1971","1971","100 g/ha","8219","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5510","Production","1717","Cereals, primary","1971","1971","t","5692000","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5312","Area harvested","1717","Cereals, primary","1972","1972","ha","7394000","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5419","Yield","1717","Cereals, primary","1972","1972","100 g/ha","9179","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5510","Production","1717","Cereals, primary","1972","1972","t","6787000","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5312","Area harvested","1717","Cereals, primary","1973","1973","ha","7462000","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5419","Yield","1717","Cereals, primary","1973","1973","100 g/ha","9248","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5510","Production","1717","Cereals, primary","1973","1973","t","6901000","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5312","Area harvested","1717","Cereals, primary","1974","1974","ha","7633000","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5419","Yield","1717","Cereals, primary","1974","1974","100 g/ha","9080","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5510","Production","1717","Cereals, primary","1974","1974","t","6931000","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5312","Area harvested","1717","Cereals, primary","1975","1975","ha","8021000","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5419","Yield","1717","Cereals, primary","1975","1975","100 g/ha","10529","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5510","Production","1717","Cereals, primary","1975","1975","t","8445000","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5312","Area harvested","1717","Cereals, primary","1976","1976","ha","7523870","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5419","Yield","1717","Cereals, primary","1976","1976","100 g/ha","12204","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5510","Production","1717","Cereals, primary","1976","1976","t","9182500","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5312","Area harvested","1717","Cereals, primary","1977","1977","ha","7182000","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5419","Yield","1717","Cereals, primary","1977","1977","100 g/ha","11434","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5510","Production","1717","Cereals, primary","1977","1977","t","8211950","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5312","Area harvested","1717","Cereals, primary","1978","1978","ha","7058200","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5419","Yield","1717","Cereals, primary","1978","1978","100 g/ha","12006","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5510","Production","1717","Cereals, primary","1978","1978","t","8474311","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5312","Area harvested","1717","Cereals, primary","1979","1979","ha","7040321","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5419","Yield","1717","Cereals, primary","1979","1979","100 g/ha","12349","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5510","Production","1717","Cereals, primary","1979","1979","t","8693746","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5312","Area harvested","1717","Cereals, primary","1980","1980","ha","8044580","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5419","Yield","1717","Cereals, primary","1980","1980","100 g/ha","10669","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5510","Production","1717","Cereals, primary","1980","1980","t","8582850","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5312","Area harvested","1717","Cereals, primary","1981","1981","ha","9099999","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5419","Yield","1717","Cereals, primary","1981","1981","100 g/ha","10209","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5510","Production","1717","Cereals, primary","1981","1981","t","9289878","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5312","Area harvested","1717","Cereals, primary","1982","1982","ha","8540938","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5419","Yield","1717","Cereals, primary","1982","1982","100 g/ha","11968","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5510","Production","1717","Cereals, primary","1982","1982","t","10221717","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5312","Area harvested","1717","Cereals, primary","1983","1983","ha","8529696","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5419","Yield","1717","Cereals, primary","1983","1983","100 g/ha","10928","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5510","Production","1717","Cereals, primary","1983","1983","t","9321331","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5312","Area harvested","1717","Cereals, primary","1984","1984","ha","8367349","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5419","Yield","1717","Cereals, primary","1984","1984","100 g/ha","12013","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5510","Production","1717","Cereals, primary","1984","1984","t","10051706","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5312","Area harvested","1717","Cereals, primary","1985","1985","ha","8769721","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5419","Yield","1717","Cereals, primary","1985","1985","100 g/ha","12233","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5510","Production","1717","Cereals, primary","1985","1985","t","10727817","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5312","Area harvested","1717","Cereals, primary","1986","1986","ha","8768499","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5419","Yield","1717","Cereals, primary","1986","1986","100 g/ha","13570","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5510","Production","1717","Cereals, primary","1986","1986","t","11898530","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5312","Area harvested","1717","Cereals, primary","1987","1987","ha","9359707","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5419","Yield","1717","Cereals, primary","1987","1987","100 g/ha","13027","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5510","Production","1717","Cereals, primary","1987","1987","t","12193218","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5312","Area harvested","1717","Cereals, primary","1988","1988","ha","9413821","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5419","Yield","1717","Cereals, primary","1988","1988","100 g/ha","12871","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5510","Production","1717","Cereals, primary","1988","1988","t","12116749","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5312","Area harvested","1717","Cereals, primary","1989","1989","ha","9459552","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5419","Yield","1717","Cereals, primary","1989","1989","100 g/ha","11403","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5510","Production","1717","Cereals, primary","1989","1989","t","10786652","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5312","Area harvested","1717","Cereals, primary","1990","1990","ha","9468074","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5419","Yield","1717","Cereals, primary","1990","1990","100 g/ha","14453","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5510","Production","1717","Cereals, primary","1990","1990","t","13683863","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5312","Area harvested","1717","Cereals, primary","1991","1991","ha","8966845","A","Official figure",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5419","Yield","1717","Cereals, primary","1991","1991","100 g/ha","16115","A","Official figure",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5510","Production","1717","Cereals, primary","1991","1991","t","14450207.9","A","Official figure",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5312","Area harvested","1717","Cereals, primary","1992","1992","ha","9392585","A","Official figure",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5419","Yield","1717","Cereals, primary","1992","1992","100 g/ha","17066","A","Official figure",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5510","Production","1717","Cereals, primary","1992","1992","t","16029233.6","A","Official figure",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5312","Area harvested","1717","Cereals, primary","1993","1993","ha","9465486","A","Official figure",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5419","Yield","1717","Cereals, primary","1993","1993","100 g/ha","17734","A","Official figure",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5510","Production","1717","Cereals, primary","1993","1993","t","16786212.2","A","Official figure",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5312","Area harvested","1717","Cereals, primary","1994","1994","ha","9184780","A","Official figure",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5419","Yield","1717","Cereals, primary","1994","1994","100 g/ha","18174","A","Official figure",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5510","Production","1717","Cereals, primary","1994","1994","t","16692464.7","A","Official figure",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5312","Area harvested","1717","Cereals, primary","1995","1995","ha","9004665","A","Official figure",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5419","Yield","1717","Cereals, primary","1995","1995","100 g/ha","19091","A","Official figure",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5510","Production","1717","Cereals, primary","1995","1995","t","17191141","A","Official figure",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5312","Area harvested","1717","Cereals, primary","1996","1996","ha","8707503","A","Official figure",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5419","Yield","1717","Cereals, primary","1996","1996","100 g/ha","18492","A","Official figure",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5510","Production","1717","Cereals, primary","1996","1996","t","16102130.2","A","Official figure",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5312","Area harvested","1717","Cereals, primary","1997","1997","ha","8500366","A","Official figure",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5419","Yield","1717","Cereals, primary","1997","1997","100 g/ha","18573","A","Official figure",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5510","Production","1717","Cereals, primary","1997","1997","t","15787881.2","A","Official figure",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5312","Area harvested","1717","Cereals, primary","1998","1998","ha","8785973","A","Official figure",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5419","Yield","1717","Cereals, primary","1998","1998","100 g/ha","21608","A","Official figure",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5510","Production","1717","Cereals, primary","1998","1998","t","18984493.2","A","Official figure",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5312","Area harvested","1717","Cereals, primary","1999","1999","ha","6926601","A","Official figure",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5419","Yield","1717","Cereals, primary","1999","1999","100 g/ha","20497","A","Official figure",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5510","Production","1717","Cereals, primary","1999","1999","t","14197138.8","A","Official figure",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5312","Area harvested","1717","Cereals, primary","2000","2000","ha","7017438","A","Official figure",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5419","Yield","1717","Cereals, primary","2000","2000","100 g/ha","18351","A","Official figure",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5510","Production","1717","Cereals, primary","2000","2000","t","12877641.8","A","Official figure",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5312","Area harvested","1717","Cereals, primary","2001","2001","ha","7732252","A","Official figure",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5419","Yield","1717","Cereals, primary","2001","2001","100 g/ha","19326","A","Official figure",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5510","Production","1717","Cereals, primary","2001","2001","t","14943509.7","A","Official figure",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5312","Area harvested","1717","Cereals, primary","2002","2002","ha","8743853","A","Official figure",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5419","Yield","1717","Cereals, primary","2002","2002","100 g/ha","22729","A","Official figure",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5510","Production","1717","Cereals, primary","2002","2002","t","19873850.17","A","Official figure",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5312","Area harvested","1717","Cereals, primary","2003","2003","ha","8789102","A","Official figure",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5419","Yield","1717","Cereals, primary","2003","2003","100 g/ha","23834","A","Official figure",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5510","Production","1717","Cereals, primary","2003","2003","t","20947988.4","A","Official figure",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5312","Area harvested","1717","Cereals, primary","2004","2004","ha","9096853","A","Official figure",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5419","Yield","1717","Cereals, primary","2004","2004","100 g/ha","24171","A","Official figure",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5510","Production","1717","Cereals, primary","2004","2004","t","21987685.3","A","Official figure",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5312","Area harvested","1717","Cereals, primary","2005","2005","ha","9522870","A","Official figure",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5419","Yield","1717","Cereals, primary","2005","2005","100 g/ha","23012","A","Official figure",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5510","Production","1717","Cereals, primary","2005","2005","t","21914452.7","A","Official figure",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5312","Area harvested","1717","Cereals, primary","2006","2006","ha","9394627","A","Official figure",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5419","Yield","1717","Cereals, primary","2006","2006","100 g/ha","23918","A","Official figure",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5510","Production","1717","Cereals, primary","2006","2006","t","22469919.6","A","Official figure",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5312","Area harvested","1717","Cereals, primary","2007","2007","ha","9810297","A","Official figure",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5419","Yield","1717","Cereals, primary","2007","2007","100 g/ha","24543","A","Official figure",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5510","Production","1717","Cereals, primary","2007","2007","t","24077570.4","A","Official figure",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5312","Area harvested","1717","Cereals, primary","2008","2008","ha","7095403","A","Official figure",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5419","Yield","1717","Cereals, primary","2008","2008","100 g/ha","17209","A","Official figure",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5510","Production","1717","Cereals, primary","2008","2008","t","12210782.6","A","Official figure",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5312","Area harvested","1717","Cereals, primary","2009","2009","ha","8989037","A","Official figure",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5419","Yield","1717","Cereals, primary","2009","2009","100 g/ha","19972","A","Official figure",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5510","Production","1717","Cereals, primary","2009","2009","t","17952655.2","A","Official figure",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5312","Area harvested","1717","Cereals, primary","2010","2010","ha","9016254","A","Official figure",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5419","Yield","1717","Cereals, primary","2010","2010","100 g/ha","21735","A","Official figure",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5510","Production","1717","Cereals, primary","2010","2010","t","19597231.3","A","Official figure",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5312","Area harvested","1717","Cereals, primary","2011","2011","ha","8763666","A","Official figure",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5419","Yield","1717","Cereals, primary","2011","2011","100 g/ha","17137","A","Official figure",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5510","Production","1717","Cereals, primary","2011","2011","t","15018275.96","A","Official figure",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5312","Area harvested","1717","Cereals, primary","2012","2012","ha","9039256","A","Official figure",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5419","Yield","1717","Cereals, primary","2012","2012","100 g/ha","17454","A","Official figure",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5510","Production","1717","Cereals, primary","2012","2012","t","15777121.79","A","Official figure",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5312","Area harvested","1717","Cereals, primary","2013","2013","ha","8893995","A","Official figure",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5419","Yield","1717","Cereals, primary","2013","2013","100 g/ha","18471","A","Official figure",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5510","Production","1717","Cereals, primary","2013","2013","t","16427670.68","A","Official figure",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5312","Area harvested","1717","Cereals, primary","2014","2014","ha","8555401","A","Official figure",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5419","Yield","1717","Cereals, primary","2014","2014","100 g/ha","20515","A","Official figure",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5510","Production","1717","Cereals, primary","2014","2014","t","17551045","A","Official figure",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5312","Area harvested","1717","Cereals, primary","2015","2015","ha","8182763","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5419","Yield","1717","Cereals, primary","2015","2015","100 g/ha","22310","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5510","Production","1717","Cereals, primary","2015","2015","t","18255384.86","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5312","Area harvested","1717","Cereals, primary","2016","2016","ha","8449886","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5419","Yield","1717","Cereals, primary","2016","2016","100 g/ha","26533","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5510","Production","1717","Cereals, primary","2016","2016","t","22419770.81","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5312","Area harvested","1717","Cereals, primary","2017","2017","ha","8800337","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5419","Yield","1717","Cereals, primary","2017","2017","100 g/ha","20583","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5510","Production","1717","Cereals, primary","2017","2017","t","18113759.53","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5312","Area harvested","1717","Cereals, primary","2018","2018","ha","9081051","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5419","Yield","1717","Cereals, primary","2018","2018","100 g/ha","20538","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5510","Production","1717","Cereals, primary","2018","2018","t","18650828.19","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5312","Area harvested","1717","Cereals, primary","2019","2019","ha","11136148","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5419","Yield","1717","Cereals, primary","2019","2019","100 g/ha","19754","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5510","Production","1717","Cereals, primary","2019","2019","t","21998893.97","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5312","Area harvested","1717","Cereals, primary","2020","2020","ha","9454460","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5419","Yield","1717","Cereals, primary","2020","2020","100 g/ha","16530","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5510","Production","1717","Cereals, primary","2020","2020","t","15627813.16","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5312","Area harvested","1717","Cereals, primary","2021","2021","ha","9073243","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5419","Yield","1717","Cereals, primary","2021","2021","100 g/ha","16352","E","Estimated value",""
"QCL","Crops and livestock products","102","Iran (Islamic Republic of)","5510","Production","1717","Cereals, primary","2021","2021","t","14836137.19","E","Estimated value",""
